measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,49,Macedonia,3,Both,25,50-69 years,294,All causes,99,Smoking,3,Rate,2015,324.496813118,355.298817158,295.35843059399997
1,Deaths,49,Macedonia,3,Both,25,50-69 years,294,All causes,102,Alcohol use,3,Rate,2015,55.694970069,68.46192409300001,42.493815999
1,Deaths,49,Macedonia,3,Both,25,50-69 years,294,All causes,103,Drug use,3,Rate,2015,7.588815788,10.71660372,4.272439037
1,Deaths,49,Macedonia,3,Both,25,50-69 years,294,All causes,116,Diet high in red meat,3,Rate,2015,1.374473686,2.310075251,0.5940855317
1,Deaths,49,Macedonia,3,Both,25,50-69 years,294,All causes,125,Low physical activity,3,Rate,2015,42.398349615,53.861679044000006,31.361597939
1,Deaths,49,Macedonia,3,Both,26,70+ years,294,All causes,99,Smoking,3,Rate,2015,707.09278807,835.890136659,595.101993531
1,Deaths,49,Macedonia,3,Both,26,70+ years,294,All causes,102,Alcohol use,3,Rate,2015,82.93916471300001,176.501844544,-3.0898470870000003
1,Deaths,49,Macedonia,3,Both,26,70+ years,294,All causes,103,Drug use,3,Rate,2015,9.834677620999999,16.048717953,5.1115112
1,Deaths,49,Macedonia,3,Both,26,70+ years,294,All causes,116,Diet high in red meat,3,Rate,2015,3.476260463,6.028595816999999,1.4205997099999998
1,Deaths,49,Macedonia,3,Both,26,70+ years,294,All causes,125,Low physical activity,3,Rate,2015,337.985809892,422.796979547,258.436845616
1,Deaths,44,Bosnia and Herzegovina,2,Female,1,Under 5,294,All causes,102,Alcohol use,3,Rate,2015,0.03242423929,0.09416296507,0.01156310105
1,Deaths,44,Bosnia and Herzegovina,2,Female,1,Under 5,294,All causes,103,Drug use,3,Rate,2015,0.005375747847,0.009749430774,0.002774047836
1,Deaths,60,Lithuania,3,Both,25,50-69 years,294,All causes,99,Smoking,3,Rate,2015,293.849641457,319.275166839,269.435485825
1,Deaths,60,Lithuania,3,Both,25,50-69 years,294,All causes,102,Alcohol use,3,Rate,2015,151.191628538,169.36637694,131.952925585
1,Deaths,60,Lithuania,3,Both,25,50-69 years,294,All causes,103,Drug use,3,Rate,2015,24.277558259000003,28.140022186999996,19.939149206
1,Deaths,60,Lithuania,3,Both,25,50-69 years,294,All causes,116,Diet high in red meat,3,Rate,2015,2.222039075,3.733375706,0.8044532477999999
1,Deaths,60,Lithuania,3,Both,25,50-69 years,294,All causes,125,Low physical activity,3,Rate,2015,58.446143520999996,71.904651122,44.884404633
1,Deaths,60,Lithuania,3,Both,26,70+ years,294,All causes,99,Smoking,3,Rate,2015,472.016865388,529.489526525,416.21229611300004
1,Deaths,60,Lithuania,3,Both,26,70+ years,294,All causes,102,Alcohol use,3,Rate,2015,30.286973923999998,140.898139216,-94.27189361299999
1,Deaths,60,Lithuania,3,Both,26,70+ years,294,All causes,103,Drug use,3,Rate,2015,9.16313511,11.237052968,7.305765757
1,Deaths,60,Lithuania,3,Both,26,70+ years,294,All causes,116,Diet high in red meat,3,Rate,2015,5.460543616,9.514971316,1.584236634
1,Deaths,60,Lithuania,3,Both,26,70+ years,294,All causes,125,Low physical activity,3,Rate,2015,444.29828412800003,537.375546992,348.541419953
1,Deaths,61,Moldova,1,Male,25,50-69 years,294,All causes,99,Smoking,3,Rate,2015,539.642060176,594.1915791480001,483.84694382500004
1,Deaths,61,Moldova,1,Male,25,50-69 years,294,All causes,102,Alcohol use,3,Rate,2015,307.033234276,403.166562319,196.22123800199998
1,Deaths,61,Moldova,1,Male,25,50-69 years,294,All causes,103,Drug use,3,Rate,2015,41.732229874,53.882336942,31.731210765
1,Deaths,61,Moldova,1,Male,25,50-69 years,294,All causes,116,Diet high in red meat,3,Rate,2015,1.0004750949999999,1.8133507180000001,0.33468231779999996
1,Deaths,61,Moldova,1,Male,25,50-69 years,294,All causes,125,Low physical activity,3,Rate,2015,62.225695001,83.652202738,40.976068703
1,Deaths,61,Moldova,1,Male,26,70+ years,294,All causes,99,Smoking,3,Rate,2015,1092.304009944,1298.320293427,898.648705333
1,Deaths,61,Moldova,1,Male,26,70+ years,294,All causes,102,Alcohol use,3,Rate,2015,-57.962286518999996,896.593183279,-1073.986850679
1,Deaths,61,Moldova,1,Male,26,70+ years,294,All causes,103,Drug use,3,Rate,2015,34.149026033,47.043521772000005,24.449834018
1,Deaths,61,Moldova,1,Male,26,70+ years,294,All causes,116,Diet high in red meat,3,Rate,2015,1.867581886,3.502001346,0.5520717878
1,Deaths,50,Montenegro,1,Male,24,15-49 years,294,All causes,99,Smoking,3,Rate,2015,41.7420757,47.319085570000006,36.012881901
1,Deaths,50,Montenegro,1,Male,24,15-49 years,294,All causes,102,Alcohol use,3,Rate,2015,24.503425811,28.344971361,20.605382451
1,Deaths,50,Montenegro,1,Male,24,15-49 years,294,All causes,103,Drug use,3,Rate,2015,7.9993711549999995,10.348337673,5.9567613790000005
1,Deaths,50,Montenegro,1,Male,24,15-49 years,294,All causes,116,Diet high in red meat,3,Rate,2015,0.277286631,0.45186829990000005,0.10764225640000001
1,Deaths,50,Montenegro,1,Male,24,15-49 years,294,All causes,125,Low physical activity,3,Rate,2015,3.506545545,5.050936306,2.0006145859999998
1,Deaths,60,Lithuania,3,Both,22,All Ages,294,All causes,99,Smoking,3,Rate,2015,147.666654084,160.905206576,134.843855631
1,Deaths,60,Lithuania,3,Both,22,All Ages,294,All causes,102,Alcohol use,3,Rate,2015,71.745412424,86.826784536,54.654420819
1,Deaths,60,Lithuania,3,Both,22,All Ages,294,All causes,103,Drug use,3,Rate,2015,15.831731433999998,17.663036124,13.530688011
1,Deaths,60,Lithuania,3,Both,22,All Ages,294,All causes,116,Diet high in red meat,3,Rate,2015,1.366323158,2.281342131,0.4643687589
1,Deaths,60,Lithuania,3,Both,22,All Ages,294,All causes,125,Low physical activity,3,Rate,2015,73.732458986,89.35556979799999,57.803024537999995
1,Deaths,61,Moldova,2,Female,23,5-14 years,294,All causes,102,Alcohol use,3,Rate,2015,0.4576901574,0.6756122729999999,0.3148742735
1,Deaths,61,Moldova,2,Female,23,5-14 years,294,All causes,103,Drug use,3,Rate,2015,0.003950917815000001,0.005650460722,0.002751257888
1,Deaths,61,Moldova,2,Female,24,15-49 years,294,All causes,99,Smoking,3,Rate,2015,3.4300101109999996,4.56184207,2.521887473
1,Deaths,61,Moldova,2,Female,24,15-49 years,294,All causes,102,Alcohol use,3,Rate,2015,18.136992003,20.233685791,16.310715000000002
1,Deaths,61,Moldova,2,Female,24,15-49 years,294,All causes,103,Drug use,3,Rate,2015,2.593461068,3.1069041139999998,2.17497909
1,Deaths,61,Moldova,2,Female,24,15-49 years,294,All causes,116,Diet high in red meat,3,Rate,2015,0.03493852034,0.05958785891,0.01416900943
1,Deaths,61,Moldova,2,Female,24,15-49 years,294,All causes,125,Low physical activity,3,Rate,2015,1.1685102440000001,1.5373736459999998,0.8148314919
